Longitude,Latitude,Decibel,GroupID
49.26609700000000,-123.2263580000000,39.7400,1
49.26639600000000,-123.2271690000000,32.3900,1
49.26635100000000,-123.2270110000000,39.4900,1
49.26635100000000,-123.2270110000000,35.7300,1
49.26635100000000,-123.2270110000000,38.3400,1
49.26612900000000,-123.2264710000000,39.7000,1
49.26386200000000,-123.2254730000000,48.9900,1
49.26385900000000,-123.2254430000000,46.9800,1
49.26385700000000,-123.2254220000000,49.5200,1
49.26384400000000,-123.2253000000000,49.1200,1
49.26383800000000,-123.2252640000000,48.5400,1
49.26381900000000,-123.2252270000000,49.5100,1
49.26403200000000,-123.2210430000000,47.1100,1
49.26403200000000,-123.2210430000000,42.5900,1
49.26417100000000,-123.2212040000000,49.3800,1
49.26424900000000,-123.2210800000000,48.4100,1
49.26425800000000,-123.2210380000000,48.2800,1
49.26426700000000,-123.2210030000000,45.3800,1
49.26428400000000,-123.2209770000000,45.3000,1
49.26430200000000,-123.2209560000000,47.5400,1
49.26431800000000,-123.2208640000000,49.3600,1
49.26431900000000,-123.2208160000000,48.7000,1
49.26539000000000,-123.2228370000000,47.2600,1
49.26435900000000,-123.2204260000000,44.9400,1
49.26437500000000,-123.2203690000000,43.5700,1
49.26437400000000,-123.2203920000000,43.5400,1
49.26436900000000,-123.2203680000000,46.5900,1
49.26383200000000,-123.2150450000000,48.8000,1
49.26546900000000,-123.2234220000000,48.5900,1
49.26523700000000,-123.2217790000000,49.6800,1
49.26562300000000,-123.2238500000000,45.1800,1
49.26529900000000,-123.2218210000000,46.2000,1
49.26532500000000,-123.2218930000000,48.5700,1
49.26533200000000,-123.2219220000000,47.9800,1
49.26539500000000,-123.2220260000000,46.9700,1
49.26540500000000,-123.2220430000000,49.0200,1
49.26542000000000,-123.2220600000000,49.6900,1
49.26544000000000,-123.2220890000000,48.8200,1
49.26545600000000,-123.2221400000000,47.3200,1
49.26545400000000,-123.2222870000000,43.0800,1
49.26545400000000,-123.2222870000000,42.8300,1
49.26539300000000,-123.2224660000000,48.8800,1
49.26538600000000,-123.2228680000000,47.7300,1
49.26539100000000,-123.2229080000000,47.8900,1
49.26540300000000,-123.2229400000000,49.0200,1
49.26540900000000,-123.2229810000000,48.0200,1
49.26540800000000,-123.2229970000000,48.5700,1
49.26542100000000,-123.2230410000000,49.6800,1
49.26543400000000,-123.2230930000000,49.2300,1
49.26544200000000,-123.2231980000000,49.3800,1
49.26544200000000,-123.2232840000000,48.4200,1
49.26545600000000,-123.2233020000000,48.3100,1
49.26813600000000,-123.2237710000000,48.3800,1
49.26547000000000,-123.2233590000000,47.5300,1
49.26548700000000,-123.2234940000000,46.8800,1
49.26559000000000,-123.2235630000000,48.3400,1
49.26561300000000,-123.2235890000000,44.8400,1
49.26562700000000,-123.2236140000000,45.7500,1
49.26562400000000,-123.2236460000000,46.8100,1
49.26563100000000,-123.2236710000000,47.7700,1
49.26563700000000,-123.2237760000000,49.6500,1
49.26563200000000,-123.2238120000000,46.7000,1
49.26561700000000,-123.2239390000000,47.2400,1
49.26560800000000,-123.2240740000000,48.5600,1
49.26808400000000,-123.2238150000000,49.0000,1
49.26884800000000,-123.2227810000000,49.9800,1
49.26590000000000,-123.2254350000000,48.7100,1
49.26579000000000,-123.2233080000000,48.4000,1
49.26580200000000,-123.2233020000000,45.2300,1
49.26581600000000,-123.2232790000000,44.1200,1
49.26582100000000,-123.2232470000000,46.4400,1
49.26581700000000,-123.2232170000000,43.7700,1
49.26581400000000,-123.2231930000000,48.2200,1
49.26581000000000,-123.2231700000000,45.6300,1
49.26580900000000,-123.2231410000000,45.2100,1
49.26580500000000,-123.2231060000000,49.4200,1
49.26579700000000,-123.2229920000000,47.5000,1
49.26581200000000,-123.2228750000000,49.6500,1
49.26577900000000,-123.2223240000000,48.6200,1
49.26603000000000,-123.2200060000000,46.8100,1
49.26603000000000,-123.2200060000000,47.0700,1
49.26580000000000,-123.2202890000000,45.9300,1
49.26578600000000,-123.2202980000000,44.6800,1
49.26578200000000,-123.2202790000000,43.9800,1
49.26577400000000,-123.2202380000000,42.5300,1
49.26577300000000,-123.2201710000000,46.3900,1
49.26577100000000,-123.2201480000000,44.6700,1
49.26576700000000,-123.2200750000000,48.1600,1
49.26576400000000,-123.2199100000000,48.1700,1
49.26577700000000,-123.2198720000000,47.1300,1
49.26580200000000,-123.2198370000000,49.1700,1
49.26582100000000,-123.2198140000000,48.4700,1
49.26583000000000,-123.2197910000000,46.3400,1
49.26654900000000,-123.2216320000000,49.4500,1
49.26628700000000,-123.2203120000000,49.9800,1
49.26636200000000,-123.2204410000000,48.7700,1
49.26648300000000,-123.2208120000000,44.5600,1
49.26651000000000,-123.2209090000000,44.0800,1
49.26652200000000,-123.2209430000000,49.0300,1
49.26653500000000,-123.2209760000000,47.5700,1
49.26649000000000,-123.2211650000000,44.4700,1
49.26649900000000,-123.2211800000000,46.4600,1
49.26649900000000,-123.2211800000000,49.2800,1
49.26649900000000,-123.2211800000000,47.2800,1
49.26651000000000,-123.2212940000000,49.8900,1
49.26654700000000,-123.2216470000000,46.7400,1
49.26621200000000,-123.2232630000000,47.2100,1
49.26621200000000,-123.2232630000000,47.1600,1
49.26656100000000,-123.2232690000000,48.2000,1
49.26658000000000,-123.2233330000000,49.1100,1
49.26658400000000,-123.2233530000000,49.5900,1
49.26378200000000,-123.2260000000000,49.1200,1
49.26431900000000,-123.2209120000000,48.3800,1
49.26660800000000,-123.2246410000000,49.8500,1
49.26660300000000,-123.2246560000000,48.6000,1
49.26658700000000,-123.2247870000000,49.3600,1
49.26659200000000,-123.2248850000000,47.3400,1
49.26659600000000,-123.2249560000000,45.0100,1
49.26683400000000,-123.2247180000000,49.3400,1
49.26738700000000,-123.2249460000000,49.0500,1
49.26747100000000,-123.2248500000000,48.5900,1
49.26747800000000,-123.2248200000000,48.4400,1
49.26750700000000,-123.2247740000000,49.1100,1
49.26751800000000,-123.2247250000000,47.9500,1
49.26758900000000,-123.2244970000000,48.8900,1
49.26760100000000,-123.2244640000000,49.6400,1
49.26763200000000,-123.2244320000000,49.3300,1
49.26769400000000,-123.2244000000000,48.3700,1
49.26771000000000,-123.2243580000000,47.9400,1
49.26773800000000,-123.2243340000000,47.6100,1
49.26775600000000,-123.2243200000000,48.1500,1
49.26893500000000,-123.2237030000000,48.4300,1
